,0.001,0.01,0.99,0.999
RAIL3,-0.19261000193389582,-0.08362492940523523,0.07321871652623478,0.1565023179617836
CEEB5,-0.22355474894607885,-0.044323023184031675,0.05036567225190364,0.2182112912486007
EALT4,-0.13982834183090906,-0.07473603617859599,0.08238873277742925,0.14680948369546334
MRVE3,-0.1524011045728311,-0.07276495987660275,0.07399986395117106,0.11531033497870741
UNIP5,-0.3184773612194495,-0.10761067534200684,0.11801782682339962,0.2933306347119473
BMKS3,-0.1887002093614468,-0.08132158993858475,0.08924521144540039,0.15111514671653145
PTNT3,-0.18241292489644012,-0.08403848453106838,0.10134496948230672,0.28776371428602265
BRPR3,-0.34291578657880606,-0.06745890929794746,0.06628346745148819,0.22700362562243798
EVEN3,-0.1701012923915796,-0.06994168905602391,0.07056176946375388,0.12683446284213898
HETA4,-0.39001780473676767,-0.1546034511035036,0.16459040393746052,0.4931209807024035
SANB11,-0.10293453490447761,-0.05278936103232819,0.0538496553316387,0.10730092611048785
CAMB3,-0.12262792360058043,-0.05626716197476963,0.0586629199112551,0.14268072631327544
QUAL3,-0.17173906467232244,-0.0864629736346951,0.07646939943934283,0.14099311459519243
ESTR3,-0.4202795150300963,0.0,0.0,0.236416978689976
EMAE4,-0.1454083873443267,-0.08894943316189559,0.09649970464014906,0.16570170315299448
SPXI11,-0.060950067126438565,-0.030016179718375887,0.03340370907295642,0.07628184802302415
TIMS3,-0.17690743847491738,-0.05603451393571887,0.06228260759679501,0.17926808015153897
MULT3,-0.11146841910812415,-0.050757814698365385,0.054835016220389804,0.10860556512290707
BHIA3,-0.3076528709983343,-0.13340375275181549,0.1308039818702004,0.2571712050313399
PIBB11,-0.09450651339996513,-0.034399291268174474,0.03582819887630348,0.06381538430327648
CSMG3,-0.148824166007303,-0.062479042886543684,0.059909271711874,0.13704953847649254
ITLC34,-0.12249433417267756,-0.06289430866566179,0.07130971389620244,0.13879364436750058
EQPA5,-0.40440570530886605,-0.12131212530020881,0.12353019719608131,0.43518169214329305
AZZA3,-0.1293762317605445,-0.062171186315614156,0.06171208153647223,0.11799635358994767
JNJB34,-0.07848092625228899,-0.038036930908870906,0.04067797058835302,0.07293279265834185
PINE3,-0.1513669723586874,-0.05282372348339491,0.05675341082371617,0.27120120577444007
CSAN3,-0.11892196186186865,-0.05570718822427897,0.05662899182099484,0.08374626047846762
BRGE5,-0.31991690475855733,-0.05588251921219374,0.04924155987603203,0.6558696721356512
SLBG34,-0.1811918456749281,-0.06970250139318462,0.07418651704884742,0.14076028243978655
JOPA4,-0.23542036835752234,-0.057468370306677806,0.05297551970522641,0.20682013724961923
METB34,-0.16307270089223927,-0.05917902534529898,0.06140621069037665,0.14746903804141398
BRAP4,-0.10481524957008029,-0.06532640347051749,0.066752726577319,0.11166052718529267
AXIA6,-0.16789844146680363,-0.06526450167144655,0.07259624388618724,0.15656180040558276
BRSR5,-0.2892349457650464,-0.10550359465555577,0.10132413496923319,0.42986889481322854
PCAR3,-0.2586044092365497,-0.07437542193599767,0.08286141060330178,0.21705152873277303
MOSC34,-0.14064129262495337,-0.08235532068261894,0.07067110672734338,0.15471237659587186
MAPT4,-0.49518252986717326,-0.22874124359927075,0.25573603399430067,0.8725104486875602
NORD3,-0.7019530657743234,-0.15386493961957892,0.24339205330163088,0.8017384403665071
RPAD3,-0.27224461250469645,-0.12226095853435766,0.12268312280083908,0.30860359804816073
LEVE3,-0.11327173504317277,-0.05627829173673017,0.05263714194800821,0.09989643848142961
BRGE12,-0.254608014551731,-0.11444981413625863,0.11019511441050299,0.2885544064422774
CMIG3,-0.21722031856868218,-0.06250681545280891,0.06461284468357338,0.13255760527384552
CRIV3,-0.19611917865154285,-0.0897759746264025,0.09346469206452712,0.30940105303779103
KEPL3,-0.15418734652959606,-0.07231123854567015,0.0757760441856244,0.15430111626366294
BOBR4,-0.1905813055629759,-0.09922806388931726,0.10284090532587183,0.2936400799094275
NEXP3,-0.20091858329526927,-0.08876995741183819,0.11192065514586243,0.20991996533383622
CEDO4,-0.3303730778223107,-0.11821729507603566,0.13587283550142498,0.33285041117498854
EUCA3,-0.48319083297882925,-0.08717374846729684,0.09082716191819044,0.4759122462681179
COTY34,-0.26836351095756145,-0.09558776805324953,0.09469148264517636,0.21103778816766125
GOAU4,-0.16839442656830622,-0.07245440544027054,0.0730919782923273,0.13960208899008872
BALM4,-0.20371329933880855,-0.08933626377395518,0.09531001417498738,0.23059213627375508
GMCO34,-0.11683670107810053,-0.06822867766824102,0.06856221349411613,0.14291315996989631
BOEI34,-0.15613609048705476,-0.06585860727822002,0.07727968551315534,0.1399407596372533
TASA3,-0.23597666023704242,-0.11584502721188836,0.12715208984524998,0.35493994944858387
CAML3,-0.11620758242396076,-0.06166987424882347,0.059020808272299545,0.09758076697314162
PTNT4,-0.148692030520475,-0.08564856427005872,0.09734987569959612,0.1967872437628042
DHER34,-0.08746868765751489,-0.04761123061266096,0.055052079902276126,0.11885389603273841
PLAS3,-0.20242210580354217,-0.12625206094383074,0.1434628432037254,0.24616179694577672
B1BW34,-0.3599660177000579,-0.12096197862881396,0.11267537732399203,0.26465202348243094
CLSC4,-0.09582006750349964,-0.052067826787850414,0.061933633156083696,0.12357137316795509
ALUP11,-0.07800903965040268,-0.04170432044753592,0.04078887425282324,0.07500880034141136
GILD34,-0.13756049080415664,-0.048506944053345304,0.06120621619465316,0.11334867483291453
M1TA34,-0.16896622091890512,-0.06568325566847168,0.06955824060023373,0.1233859195760248
DISB34,-0.10358989691670185,-0.042516069164002225,0.054440353775816,0.12156298646137331
MEAL3,-0.19799058105668274,-0.07579138127218717,0.07910966289680535,0.14130192076782563
AGRO3,-0.09768376343751259,-0.04965556158368845,0.049404008330649576,0.07922564100517179
NUTR3,-0.4006174239917835,-0.12064341530679668,0.1541506236285941,0.4474647478941122
JFEN3,-0.3007728761817301,-0.12528966424126123,0.14975062064275532,0.4542488076893398
HALI34,-0.22495437150260458,-0.0764484709917753,0.08817032644737208,0.16103250311272388
TAEE11,-0.08251719323660132,-0.03852858249898717,0.03812430766126667,0.08175968363201996
MBRF3,-0.19303652475420285,-0.07654673299409741,0.07963900428248742,0.14691079488874917
FIND11,-0.08430217178697937,-0.044250328644121095,0.04456416164579188,0.07900710961616922
ENMT4,-0.1979346226692641,-0.07994572368508791,0.07066070022954897,0.19351062445482775
SMAL11,-0.10566212673690353,-0.04121282950907945,0.03564423212355421,0.06320928060160935
COPH34,-0.16984073097703126,-0.0684044094383716,0.06933223021133039,0.15360642170745062
AMGN34,-0.09474626870043217,-0.04854034027692519,0.06437874019200347,0.1367094387168192
SCAR3,-0.1160659340501673,-0.061972632773206075,0.06355037417252116,0.10759609949056641
DIVO11,-0.08511659862742071,-0.036273033366166385,0.035493576117789735,0.05932608293716164
VSTE3,-0.18033810142965964,-0.08681323624980962,0.09639701960770786,0.25315664103738017
HOME34,-0.07141693026524268,-0.04847031297004717,0.05285557559617278,0.12167844880435441
APTI4,0.0,0.0,0.0,0.07732671110940227
WLMM3,-0.21712471063796457,-0.1137679710564227,0.11605912693492997,0.27721337863872
COCE5,-0.08013559494774437,-0.04408702503046896,0.049122533468915916,0.0866334036173587
EBAY34,-0.12018500751819892,-0.06626284464192779,0.06406307542093731,0.160154554939099
WLMM4,-0.20482479293953057,-0.09635886158656934,0.08454245660546883,0.17365513478587202
EALT3,-0.2457929818545675,-0.09787831761122501,0.09836858468597809,0.48225271826264166
CLSC3,-0.2398780595471305,-0.04925892368446884,0.06744047243635129,0.19768838029196528
IVVB11,-0.06271514361178399,-0.029791709886188567,0.033237981984409436,0.08352339036901302
MDIA3,-0.11817503074649617,-0.05689218635186415,0.05357239194391076,0.12288663344231081
