,0
ESUD11,0.9997477931904162
RENT4,0.9997477931904162
H2AI34,0.9997477931904162
AXIA7,0.9987389659520807
I2ND34,0.998234552332913
S2EI34,0.9979823455233291
W2EX34,0.9974779319041615
C2SW34,0.9972257250945775
E2NO34,0.9972257250945775
S2LA34,0.9964691046658259
L2IV34,0.9959646910466583
P2TC34,0.9949558638083228
ARND3,0.9939470365699874
B2AH34,0.9936948297604036
R2GE34,0.9931904161412358
O2LE34,0.9924337957124842
G2NT34,0.9916771752837327
LHER4,0.9911727616645649
R2AR34,0.9906683480453973
Z2DV34,0.9896595208070618
I2RS34,0.9894073139974779
R2PD34,0.9891551071878941
E2LS34,0.9889029003783102
EMBJ3,0.9889029003783102
D2NL34,0.987641866330391
ADMF3,0.9871374527112232
C2EM34,0.9871374527112232
OBTC3,0.9853720050441362
M2KS34,0.9853720050441362
T2YL34,0.9846153846153847
S2YN34,0.9836065573770492
D2OX34,0.9831021437578814
WDCN3,0.9825977301387138
B2LN34,0.9815889029003783
A2RW34,0.9808322824716267
F2IV34,0.9808322824716267
FSPE11,0.9795712484237075
I2NG34,0.9775535939470366
F2RS34,0.9760403530895334
T2RE34,0.9735182849936949
E2XP34,0.9730138713745271
A2ZT34,0.9730138713745271
PRVI3,0.9725094577553594
BUET3,0.9725094577553594
V2RN34,0.9717528373266078
SANC34,0.9717528373266078
R2RX34,0.9699873896595208
G2WR34,0.9699873896595208
P2CY34,0.9692307692307692
E2XE34,0.9667087011349307
Z2IT34,0.9667087011349307
J2AZ34,0.9646910466582598
CTAX3,0.9646910466582598
GOLL54,0.964186633039092
U2NF34,0.9634300126103404
M2AS34,0.9626733921815889
E2NT34,0.9619167717528373
A2SO34,0.9614123581336697
S2RE34,0.9601513240857503
TOKY3,0.9601513240857503
C2PR34,0.9598991172761665
L2SC34,0.9591424968474149
RVEE3,0.958890290037831
I2NV34,0.9583858764186634
P2OD34,0.9583858764186634
P2ST34,0.9576292559899118
K2RC34,0.9573770491803278
D2KS34,0.9573770491803278
CCTY3,0.9568726355611602
MOTV3,0.9558638083228247
G2ME34,0.9530895334174023
D2TC34,0.9525851197982346
T2RM34,0.9510718789407314
C2GN34,0.9490542244640605
BKYY39,0.9477931904161412
B2AP34,0.946279949558638
AZTE3,0.9447667087011349
SULT3,0.9442622950819672
CBMA4,0.9442622950819672
SCLO4,0.9442622950819672
SCLO3,0.9442622950819672
B2RK34,0.9435056746532157
A2LC34,0.9430012610340479
C2OU34,0.9417402269861286
BSLI4,0.9407313997477932
BIED3,0.9399747793190416
LARK4,0.9397225725094578
C2RN34,0.9379571248423707
R2NG34,0.9377049180327869
P2EG34,0.9361916771752837
F2RT34,0.9354350567465322
AMOB3,0.9346784363177806
ATED3,0.933921815889029
BRST3,0.9329129886506936
J2BL34,0.932156368221942
A2RR34,0.9253467843631779
T2ND34,0.9240857503152585
E2XA34,0.9223203026481716
B2UR34,0.9205548549810845
N2VC34,0.9203026481715006
E2PA34,0.9197982345523329
P2NB34,0.9192938209331651
D2OC34,0.9182849936948297
FNAM11,0.9180327868852459
H2TA34,0.9122320302648171
L2RN34,0.9092055485498108
J2WA34,0.9079445145018915
M2PR34,0.9023959646910467
N2TN34,0.9021437578814628
VTRU3,0.9013871374527113
S2CH34,0.8973518284993695
L2PL34,0.8945775535939471
O2HI34,0.8925598991172762
C2RS34,0.8918032786885246
S2TW34,0.8877679697351829
M2PM34,0.8872635561160152
F2IC34,0.8865069356872636
C2CA34,0.8822194199243379
S2FM34,0.8809583858764186
Q2SC34,0.8786885245901639
P2CF34,0.8744010088272384
ANDV34,0.8698612862547289
AETB34,0.8686002522068096
T2ER34,0.8630517023959647
A2MB34,0.8585119798234553
A2XO34,0.855233291298865
Z2SC34,0.8426229508196721
ESRX34,0.8418663303909205
C2HP34,0.839344262295082
O2NS34,0.837578814627995
FDES11,0.8358133669609079
CLOV34,0.8335435056746532
BFRE11,0.8295081967213115
IGTI4,0.8242118537200505
C2AC34,0.819672131147541
N2ET34,0.819672131147541
C2OL34,0.8156368221941992
VVAR4,0.8098360655737705
S2TA34,0.8095838587641866
N2LY34,0.8093316519546028
S2ED34,0.7944514501891551
M2ST34,0.7941992433795713
BKSA39,0.7936948297604035
BIYC39,0.7906683480453972
BIHA39,0.7899117276166456
BPIC39,0.7899117276166456
BCRB39,0.7899117276166456
INBR32,0.7894073139974779
BHDV39,0.7881462799495587
A2RE34,0.7878940731399747
BIDN39,0.7866330390920555
BCNY39,0.7866330390920555
BIJS39,0.7861286254728878
BUTL39,0.7861286254728878
BIYK39,0.7861286254728878
BKXI39,0.7848675914249684
PPLA36,0.7846153846153846
E2NP34,0.7783102143757882
M2RV34,0.7702395964691047
BSAN33,0.7699873896595208
S2NA34,0.7682219419924338
C2RW34,0.7674653215636822
U2PS34,0.7667087011349306
BSOC39,0.7667087011349306
BCHQ39,0.7667087011349306
BLPX39,0.7667087011349306
BLPA39,0.7667087011349306
BQYL39,0.7667087011349306
BBUG39,0.7664564943253468
BDRI39,0.7664564943253468
BHER39,0.7664564943253468
BOTZ39,0.7664564943253468
BCLO39,0.766204287515763
BFNX39,0.766204287515763
BPVE39,0.766204287515763
BCPX39,0.766204287515763
BURA39,0.766204287515763
BSIL39,0.766204287515763
BLBT39,0.766204287515763
BDVD39,0.766204287515763
BSDV39,0.766204287515763
FPOR11,0.765952080706179
AURE3,0.7626733921815889
TWXB34,0.7611601513240858
BEGU39,0.7581336696090795
BIYE39,0.7581336696090795
BUSM39,0.7581336696090795
BIJR39,0.7581336696090795
P2AN34,0.7566204287515763
DHBI4,0.7495586380832282
IGTI11,0.740983606557377
W2YF34,0.7402269861286255
XPBR31,0.7329129886506935
ONCO3,0.7306431273644388
