Data,IBOV
2010-01-04,70045.0
2010-01-05,70240.0
2010-01-06,70729.0
2010-01-07,70451.0
2010-01-08,70263.0
2010-01-11,70433.0
2010-01-12,70076.0
2010-01-13,70385.0
2010-01-14,69801.0
2010-01-15,68978.0
2010-01-18,69401.0
2010-01-19,69909.0
2010-01-20,68200.0
2010-01-21,66270.0
2010-01-22,66220.0
2010-01-26,65524.0
2010-01-27,65070.0
2010-01-28,65588.0
2010-01-29,65402.0
2010-02-01,66572.0
2010-02-02,67163.0
2010-02-03,67109.0
2010-02-04,63934.0
2010-02-05,62763.0
2010-02-08,63153.0
2010-02-09,64718.0
2010-02-10,65051.0
2010-02-11,66129.0
2010-02-12,65855.0
2010-02-17,67285.0
2010-02-18,67836.0
2010-02-19,67597.0
2010-02-22,67184.0
2010-02-23,66108.0
2010-02-24,65795.0
2010-02-25,66121.0
2010-02-26,66503.0
2010-03-01,67228.0
2010-03-02,67779.0
2010-03-03,67641.0
2010-03-04,67815.0
2010-03-05,68847.0
2010-03-08,68575.0
2010-03-09,69576.0
2010-03-10,69979.0
2010-03-11,69885.0
2010-03-12,69341.0
2010-03-15,69024.0
2010-03-16,69942.0
2010-03-17,69723.0
2010-03-18,69697.0
2010-03-19,68829.0
2010-03-22,69042.0
2010-03-23,69387.0
2010-03-24,68913.0
2010-03-25,68442.0
2010-03-26,68683.0
2010-03-29,69939.0
2010-03-30,69960.0
2010-03-31,70372.0
2010-04-01,71136.0
2010-04-05,71290.0
2010-04-06,71096.0
2010-04-07,70793.0
2010-04-08,71785.0
2010-04-09,71417.0
2010-04-12,70614.0
2010-04-13,70792.0
2010-04-14,71035.0
2010-04-15,70524.0
2010-04-16,69421.0
2010-04-19,69098.0
2010-04-20,69318.0
2010-04-22,69386.0
2010-04-23,69509.0
2010-04-26,68872.0
2010-04-27,66511.0
2010-04-28,66656.0
2010-04-29,67978.0
2010-04-30,67530.0
2010-05-03,67119.0
2010-05-04,64869.0
2010-05-05,64914.0
2010-05-06,63414.0
2010-05-07,62871.0
2010-05-10,65453.0
2010-05-11,64425.0
2010-05-12,65224.0
2010-05-13,64788.0
2010-05-14,63412.0
2010-05-17,62866.0
2010-05-18,60841.0
2010-05-19,59689.0
2010-05-20,58192.0
2010-05-21,60259.0
2010-05-24,59915.0
2010-05-25,59184.0
2010-05-26,60190.0
2010-05-27,62092.0
2010-05-28,61947.0
2010-05-31,63047.0
2010-06-01,61841.0
2010-06-02,62943.0
2010-06-04,61676.0
2010-06-07,61183.0
2010-06-08,61856.0
2010-06-09,61479.0
2010-06-10,63049.0
2010-06-11,63605.0
2010-06-14,63533.0
2010-06-15,64442.0
