Data,ret_portfolio,ret_ibov,acum_portfolio,acum_ibov
2015-01-02,-0.009011539653396615,-0.0303518056091541,0.9909884603466034,0.9696481943908459
2015-01-05,-0.0168593076282531,-0.0207236482715135,0.9742810810375712,0.9495535462631819
2015-01-06,-0.021982496863134127,0.0101343022758205,0.9528639502298518,0.9591766089280902
2015-01-07,-0.0036378197675377712,0.0300030713044199,0.9493976029159316,0.9879548531192914
2015-01-08,-0.007979917652673958,0.0096574398052419,0.9418214882250164,0.9974959676435875
2015-01-09,-0.00866388940115857,-0.0223327058913715,0.9336616510154003,0.9752191835703743
2015-01-12,-0.018862688880513102,-0.014436216887578,0.9160502817726306,0.9611407079234257
2015-01-13,0.004696984178588739,-0.0020378040363741,0.9203529554529083,0.9591820915092958
2015-01-14,-0.014839103938055818,-0.0082769471774229,0.9066957422872458,0.9512429920043434
2015-01-15,-0.022020619164445178,0.0079438497849937,0.8867297406483144,0.9587995234418538
2015-01-16,0.00724760020947765,0.0204246457906734,0.8931564033023872,0.9783826640924201
2015-01-19,-0.001206318060052452,-0.0260205845561768,0.892078972602632,0.9529245752531058
2015-01-20,-0.007439928057183043,0.0024886299245395,0.8854419692251426,0.9552960518669098
2015-01-21,0.002981733773081348,0.0277460873530301,0.8880821214488849,0.9818017795700139
2015-01-22,-0.01249233482834914,0.0044391814819634,0.8769879022326749,0.9861601758488397
2015-01-23,0.003123440075751085,-0.0136026044109777,0.8797271213924573,0.9727458290909078
2015-01-26,-0.006568758288344825,-0.0040677186501449,0.873948406572329,0.968788972740064
2015-01-27,-0.014557687437089503,0.0002881607133392,0.8612257388333066,0.9690681396615239
2015-01-28,-0.007503403014051426,-0.0186117579751979,0.8547636150287661,0.9510320779846684
2015-01-29,-0.003417139723198955,0.0014037736572991,0.8518427683259062,0.9523671117629897
2015-01-30,-0.00981625813001838,-0.0180421076556525,0.8434808598258297,0.9351844018048591
2015-02-02,0.007215414889092601,0.0157153796400492,0.8495669241804816,0.9498811797126746
2015-02-03,-0.0029694798044358744,0.0271817179743986,0.847044152356611,0.9757005820488135
2015-02-04,0.006851490699855784,0.0068590306053206,0.8528476674888495,0.9823929422027154
2015-02-05,0.004765299620445119,-0.0013599230796319,0.8569117421550316,0.9810569633673464
2015-02-06,-0.011026330326868183,-0.0090180767447995,0.8474631502250581,0.9722097163806798
2015-02-09,0.012614000786958629,0.0120398704189025,0.8581530510689155,0.983914995385901
2015-02-10,-0.008167260072533884,-0.0178362731559325,0.8511442919187973,0.96636561876598
2015-02-11,0.01583907644955581,-0.0055814098381951,0.8646256314281021,0.9609719361941061
2015-02-12,0.020392754606331522,0.0264505616988751,0.8822577297561599,0.9863901836832958
2015-02-13,-3.3884658759083825e-05,0.0220236716567766,0.8822278347540495,1.0081141172142043
2015-02-18,0.0047766966455658425,0.0126380268378328,0.886441969492944,1.0208546904831555
2015-02-19,0.012657345724107892,0.0002729736597369,0.8976619719651753,1.0211333569240761
2015-02-20,0.00947774838676183,-0.0010923420116318,0.9061697862718257,1.0200179300588295
2015-02-23,0.022122235397519244,0.0008388689417881,0.9262162875938507,1.020873591420423
2015-02-24,0.0015530614231066152,0.0114973880543148,0.9276547583795656,1.0326109712553855
2015-02-25,0.009854852497354731,-0.0012152193230068,0.9367966591918654,1.031356122449967
2015-02-26,-0.010167080090733728,-0.0009655119894222,0.9272721725291299,1.0303603357483775
2015-02-27,-0.019800203564528062,-0.0034448091040181,0.908911994753331,1.0268109410833723
2015-03-02,0.0022544802422954187,-0.0109548481617895,0.9109611188874877,1.01556238313294
2015-03-03,-0.005891497512239316,0.0055314091681758,0.9055941937218153,1.021179874209856
2015-03-04,0.003609010019183605,-0.016429249781067,0.9088624922402718,1.0044026549850635
2015-03-05,-0.004620022078006291,-0.0020429826708503,0.9046635274602499,1.0023506777663729
2015-03-06,0.020285510860880953,-0.0076535561847942,0.9230150892719877,0.9946791305372213
2015-03-09,-0.008831134704642318,-0.016135563159636,0.9148638186842093,0.9786294226028661
2015-03-10,-0.003585786255204209,-0.0182207474309291,0.9115833125777878,0.9607980630651434
2015-03-11,0.00868853986592816,0.0126134657210904,0.9195036405302348,0.9729170564985056
2015-03-12,0.006634437674866001,-0.0005317734770355,0.925604030125145,0.9723996850125043
2015-03-13,0.0028743072497644647,-0.0058270918708442,0.9282645004993451,0.9667334227127565
2015-03-16,-0.011738875962963361,0.0051722130000263,0.917367718667161,0.9717335738892713
2015-03-17,0.011223291174705082,0.0289933859039215,0.9276636036880375,0.9999074203928398
2015-03-18,0.0012177197011687324,0.0243797127460877,0.9287932379343056,1.0242848760746988
2015-03-19,-0.0007413649663443847,-0.0111632697139049,0.9281046631667236,1.0128505077392032
2015-03-20,0.003854340503235959,0.0196856368146072,0.9316818945612092,1.0327891149820476
2015-03-23,-0.0027500720749167613,-0.0011359808682498,0.929119702200271,1.0316158863064913
2015-03-24,-0.0014840212753532167,-0.0077746151370881,0.927740868794856,1.0235954698211522
2015-03-25,0.0023018224355948087,0.0068109082606601,0.9298763635410662,1.0305670846621313
2015-03-26,-0.005570011932839462,-0.024952972756737,0.924696941100077,1.0048513722745673
2015-03-27,0.0014908660024474756,-0.0096350385305928,0.9260755403321304,0.9951695905851828
2015-03-30,0.00934838611368214,0.0226578206128071,0.9347328520535918,1.0177179646479826
2015-03-31,-0.0183351090779676,-0.0018165309263978,0.9175944232524293,1.015869248490849
2015-04-01,-0.018655038933317724,0.0226544403203956,0.90047666356166,1.03888319775411
2015-04-02,0.0015486001272858713,0.015193046759058,0.9018711418374696,1.0546669987547879
2015-04-06,0.0021152416082251095,0.0114917978126076,0.9037788172019418,1.0667870186641077
2015-04-07,0.0017090232365783713,-0.0001488842985647,0.9053233962012672,1.066628190827116
2015-04-08,-0.0040263730110738786,-0.0012664123119135,0.9016782265125087,1.0652773997540186
2015-04-09,-0.004554393989288161,0.0026427470156575,0.8975716286174081,1.0680926584230659
2015-04-10,0.00477400307113053,0.0076099499793816,0.9018566383289872,1.0762207901270102
2015-04-13,0.001839661206484797,0.0004794659578823,0.9035157490003318,1.0767368013590415
2015-04-14,-0.002077240212365345,-0.0047679859691033,0.901638929754003,1.0716029353977443
2015-04-15,-0.009540402305189426,0.0172087147679742,0.8930369316301294,1.090043844657528
