Data_Rebal,Ticker,Peso,Regime
2015-01-02,NUTR3,0.025088906058918482,1
2015-01-02,AMZO34,0.025242634395037017,1
2015-01-02,TEKA3,0.0006717982103604871,1
2015-01-02,BRKM5,0.0,1
2015-01-02,AXPB34,0.043424200558198754,1
2015-01-02,CTGP34,0.04517512554891377,1
2015-01-02,JPMC34,0.07087430619558382,1
2015-01-02,TKNO4,0.0,1
2015-01-02,ANIM3,0.07230392672851567,1
2015-01-02,SEER3,0.0,1
2015-01-02,MAPT4,0.0,1
2015-01-02,ORCL34,0.07739752899273072,1
2015-01-02,CATP34,0.09662177873400885,1
2015-01-02,PINE4,0.0,1
2015-01-02,KEPL3,0.0815948233586808,1
2015-01-02,M1TA34,0.09837621919105256,1
2015-01-02,TPIS3,0.0,1
2015-01-02,TELB3,0.0,1
2015-01-02,FLRY3,0.0,1
2015-01-02,ISAE3,0.08616854237034317,1
2015-01-02,EZTC3,0.0,1
2015-01-02,ENGI11,0.021637292118696104,1
2015-01-02,ALPA3,0.0,1
2015-01-02,QCOM34,0.09423551187534197,1
2015-01-02,MATB11,0.0,1
2015-01-02,PTBL3,3.352221147029582e-17,1
2015-01-02,TUPY3,0.0,1
2015-01-02,COGN3,0.07579378310392182,1
2015-01-02,BALM4,0.08539362255969614,1
2015-01-02,KLBN11,0.0,1
2015-02-02,AMZO34,0.03771777308128889,0
2015-02-02,TEKA3,0.0,0
2015-02-02,BRKM5,8.91682379981392e-17,0
2015-02-02,AXPB34,0.09753663767623864,0
2015-02-02,CTGP34,0.09849758894077916,0
2015-02-02,JPMC34,0.09763672245338552,0
2015-02-02,TKNO4,4.565057564078734e-16,0
2015-02-02,ANIM3,0.08639955492725787,0
2015-02-02,SEER3,0.0,0
2015-02-02,MAPT4,4.2474269680606927e-16,0
2015-02-02,ORCL34,0.0972441021506571,0
2015-02-02,CATP34,0.0970837216689808,0
2015-02-02,PINE4,1.5606161039229017e-16,0
2015-02-02,KEPL3,0.0,0
2015-02-02,M1TA34,0.09919686098167896,0
2015-02-02,TPIS3,2.585783380475762e-17,0
2015-02-02,TELB3,2.0349255686887609e-16,0
2015-02-02,FLRY3,8.124402711385747e-18,0
2015-02-02,EZTC3,0.0,0
2015-02-02,ENGI11,0.09869549780675685,0
2015-02-02,ALPA3,0.0,0
2015-02-02,QCOM34,0.0,0
2015-02-02,MATB11,6.968545469973484e-17,0
2015-02-02,PTBL3,0.0,0
2015-02-02,TUPY3,0.0,0
2015-02-02,COGN3,0.09174420712374531,0
2015-02-02,BALM4,0.0,0
2015-02-02,KLBN11,0.09824733318922949,0
2015-02-02,TASA3,0.0,0
2015-02-02,BIOM3,0.0,0
2015-03-02,RCSL3,0.0,0
2015-03-02,TEKA3,0.0,0
2015-03-02,PDTC3,0.0,0
2015-03-02,TKNO4,0.0,0
2015-03-02,MAPT4,0.0,0
2015-03-02,CTSA3,0.0,0
2015-03-02,LUPA3,0.0,0
2015-03-02,AELP3,0.023956886135161733,0
2015-03-02,KEPL3,0.0,0
2015-03-02,CTKA3,0.09624995915590234,0
2015-03-02,MTIG3,0.0,0
2015-03-02,MTSA4,0.0,0
2015-03-02,SLED3,0.0,0
2015-03-02,ODPV3,0.09507190652892228,0
2015-03-02,CGAS5,0.0,0
2015-03-02,WEGE3,0.09971763574240927,0
2015-03-02,CTSA4,0.0,0
2015-03-02,PTBL3,0.0,0
2015-03-02,GEPA4,0.09830782974048033,0
2015-03-02,MDIA3,0.0,0
2015-03-02,CREM3,0.0670147623316188,0
2015-03-02,ABEV3,0.09760308401429377,0
2015-03-02,DOHL4,0.0287223339587405,0
2015-03-02,RPMG3,0.0,0
2015-03-02,TPIS3,0.0,0
2015-03-02,MMMC34,0.09852697366065043,0
2015-03-02,BRSR5,0.09990098682236696,0
2015-03-02,QUAL3,0.097886951518822,0
2015-03-02,FIBR3,0.09704069039063165,0
2015-03-02,DASA3,0.0,0
2015-04-01,OGXP3,9.308637477215374e-16,0
2015-04-01,DTCY3,0.0,0
2015-04-01,VISA34,0.09692636236093698,0
2015-04-01,AZEV4,1.6612852162246506e-16,0
2015-04-01,RADL3,0.07542166291630108,0
2015-04-01,LEVE3,7.572045438192639e-17,0
2015-04-01,HOME34,0.09260596948883497,0
2015-04-01,TIMS3,9.277313343428676e-17,0
2015-04-01,SGPS3,2.1264460647035582e-16,0
2015-04-01,TXRX3,0.0011025676715565888,0
2015-04-01,COCA34,0.07394246931579765,0
2015-04-01,BAUH4,1.214849089835983e-16,0
2015-04-01,BMIN4,2.3211405289325567e-17,0
2015-04-01,VIVT3,1.5570207543735668e-16,0
2015-04-01,PFIZ34,0.09508666058422015,0
2015-04-01,NEXP3,9.96537994384212e-17,0
2015-04-01,ITUB4,0.0,0
2015-04-01,EXXO34,5.547409353981544e-17,0
2015-04-01,JNJB34,0.05231576949798062,0
2015-04-01,TOTS3,0.005639469531017332,0
2015-04-01,SBUB34,0.09396212730220597,0
2015-04-01,AMAR3,0.0,0
2015-04-01,BBDC4,0.027000641955074657,0
2015-04-01,FDXB34,0.09675830122865055,0
2015-04-01,ITSA3,0.015616123200761374,0
2015-04-01,AAPL34,0.09441319174778184,0
2015-04-01,PGCO34,0.0971083550519654,0
2015-04-01,ATTB34,0.025958605498821157,0
2015-04-01,ITSA4,0.011715768932969644,0
2015-04-01,BDLL4,0.04442595371512219,0
